FirstName,LastName,Email,MailingStreet,MailingCity,MailingPostalCode,MailingState,MailingCountry,isvcdptest2__Level__c,isvcdptest2__Languages__c,referenceId
Dickie,Bugler,dbugler0@blogger.com.cdp,86 Anthes Street,Unity,J8R,Saskatchewan,Canada,Secondary,Swedish,ContactRef1
Christie,Guesford,cguesford1@utexas.edu.cdp,2 Jackson Street,Águia Branca,29795-000,,Brazil,Primary,Fijian,ContactRef2
Rafi,Copestake,rcopestake2@cpanel.net.cdp,0621 Eagan Way,Miami,33147,Florida,United States,Tertiary,Fijian,ContactRef3
Kessiah,Cambling,kcambling3@chron.com.cdp,40960 Jay Way,Austin,78759,Texas,United States,Tertiary,Luxembourgish,ContactRef4
Prudi,Sellens,psellens4@posterous.com.cdp,9 Del Sol Plaza,Cookshire-Eaton,M4C,Québec,Canada,Secondary,French,ContactRef5
Brook,Limerick,blimerick5@blinklist.com.cdp,58 John Wall Lane,Jaguariaíva,84200-000,,Brazil,Tertiary,Hindi,ContactRef6
Christian,Hartley,chartley6@hatena.ne.jp.cdp,12 Shopko Alley,Houston,77075,Texas,United States,Tertiary,Tsonga,ContactRef7
Ring,Hoggins,rhoggins7@cocolog-nifty.com.cdp,47984 Hovde Avenue,Paraipaba,62685-000,,Brazil,Tertiary,Dutch,ContactRef8
Lianne,Edeson,ledeson8@timesonline.co.uk.cdp,85 6th Street,El Paso,79945,Texas,United States,Tertiary,Malayalam,ContactRef9
Godfry,Keddie,gkeddie9@domainmarket.com.cdp,23 New Castle Place,Varginha,37000-000,,Brazil,Secondary,Afrikaans,ContactRef10
